,T1 Interpolacion,T2 Media Clim.,T3 Kalman
cos_hora,-0.6674851182439608,-0.6711882514426497,-0.6708122621157244
PS,0.24111637042080572,0.2416097236874123,0.24144234291513855
KT,0.2371196867988583,0.2376001186188899,0.2374159228738808
T2M,-0.2039126192552702,-0.20471326514599958,-0.20483361873223507
SZA,0.17070158193750942,0.17158796066195098,0.17172780217998726
CLRSKY_SFC_SW_DWN,-0.16490822853076945,-0.16575427452257305,-0.16588296039737252
RH2M,0.14584124678437596,0.14668392812389713,0.14683976258017886
ALLSKY_SFC_SW_DWN,-0.11138809993636556,-0.11210489770499459,-0.11224151293948073
PRECTOTCORR,-0.09832084202003795,-0.09771484792052455,-0.09754966154441685
sin_hora,0.08222881968103217,0.08273238543638504,0.08295405350796708
sin_mes,-0.0621680564057568,-0.06337621389208158,-0.06346348777521792
sin_dia_anio,-0.061070776542640155,-0.06228379456245813,-0.06238791376969036
WD10M,0.051027886063796636,0.05090025495457317,0.051072527781739284
WS10M,-0.04648019868061742,-0.046245675744165556,-0.046464094227476535
dia_anio,0.04300525532912499,0.04419115013958213,0.044339300077577665
mes,0.04288700971634306,0.04413258653088008,0.0442695524739248
cos_dia_anio,-0.015758124821903068,-0.015576686373583063,-0.015393704216273616
cos_mes,0.0002741609871782678,0.0007666263170059296,0.0009208356954025779
