,Original_validos,T1_Interpolacion,T2_Media_Clim,T3_Kalman
N,1105211.0,1330560.0,1330560.0,1330560.0
Min,0.0,0.0,0.0,0.0
Max,1559.0,1559.0,1559.0,1559.0
Media,118.5391748724904,142.80359313879546,142.66149673773845,142.6934018237078
Mediana,0.0,0.0,0.0,0.0
Std,222.50864892699698,221.34970813101563,220.7450906084913,220.78367823140687
Asimetria,2.408983490524453,1.943528691438117,1.937069874330763,1.9373958045714432
Curtosis,6.092526884240215,4.213789016635753,4.196494920011672,4.197175455250813
